ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
74,"place where stools, bee-barrels, &c., are carved","place where stools, bee-barrels, &c","rĩairo, ma- ; kĩaĩro, ci-; n. (1), place where stools, bee-barrels, &c., are carved; cf. kĩea. [aya]"
77,1. year,year,"mwaka, mi-, n, (111), 1. year; ~ wa mĩrongo ĩrĩ, yo920. 2. season; the names of the main divisions and their order vary according to altitude and local vagaries of climate; those set out here follow approximately chronological order where there are two growing seasons; see dictionary entries. 1. early part of the year: mũgaa, kagaa, kĩrnjangwe, mwaniathenge. 2. March to May: mbura-yanjahĩ, mũringo, kĩhu, gĩthananwa, mũgira-njara. 3. June to August: gathaatn, muoria-nyoni, gaciciũ, gathano, (N.K.) gathano-komũ. 4. September to December: mbura-ya-mwere, mũringo, drera-hũngũ, kanya-hũngũ, kĩya-kia-mũhĩa (mwere), kayakarongo, kĩhu, gĩthananwa, mũratho, njakoira, thano, themithũ, gatumu (tumu); cf. kĩmera, hĩndĩ, kahinda."
79,poss. a. & pron. his,poss,"-ake, p.a. (U), poss. a. & pron. his; her, hers."
80,"builder, mason.","builder, mason","mwakit, a-, n. (111), builder, mason. [aka]"
81,1. fire,fire,"mwaki? mĩ-, n. (1), 1. fire; 7kĩra horo ~, make sth. more urgent or arresting; ota ~, see under ota, cf. thiota; rra ~, enjoy oneself, be out for a spree; nicknamed (N.K.) mwarĩ-wandune. 2. a territorial unit of several villages; a ~ ũmwe, people of a fire-linked unit; krama kĩa ~, see under kĩama. [see akia]"
82,"light (a fire, lamp, &c.), turn on (electric light)","light (a fire, lamp, &c","akia, v.t, (1), light (a fire, lamp, &c.), turn on (electric light); cf. mundia, gwatia. akangia, diff. akana, rec. burn, light up, be lighted; (of lights) be on, shine, akanwoo, pass. rec.;"
83,,become incensed with,"~ ni ngoro, become incensed with"
84,keep up (a fire) for sb.,keep up (a fire) for sb,"ee he eh m y fpa O a O o a indignation. akania, caus. rec, akanira, app. rec. akaniria, caus. app. rec. akithia, d. caus. st. pot. akiria, app. light for. akirĩria, inten. stoke up (a fire), keep up (a fire) for sb.; ~ nyũngũ ĩo ti riiko, keep up the fire for the pot on the stove, exaggerate a story."
85,(N.K.) glutton,() glutton,"maakira, n. with cl. r4 concords (111), (N.K.) glutton; see"
88,,REFERENCE,"akorũo, see under kora."
89,poss.,poss,"-aku, p.a. (U), poss. a. & pron. 2nd pers. s., (thy) your, (thine) yours."
90,"poss. a. & pron., my, mine",poss,"-akwa, p.a. (U), poss. a. & pron., my, mine; see also -wa."
94,,"ame, interj. [U], surprise","ame, interj. [U], expr. surprise; ~/ ũria Ũrũthĩtie mũgũnda nũ?, tch! tch! who has let the cattle into this garden? [see arũme]"
96,,REFERENCE,"kramori, see mori."
99,,(of cattle) restlessness,"riamuma [riamuuma], (ma-);, mwamuma, (mi-); n. (1) (of cattle) restlessness. [amuma]"
101,reciprocity.,reciprocity,"mwamũkanĩro, mi-, n. (I), reciprocity. Kanya (Koiga) gatune nĩ ~, the little red snuff-box (calabash) is a symbol of mutual giving and receiving. [amũkira]"
102,"act of separating one from another, separation, schism, secession","state of separation (mainly of living things), division","mwamũkano, mi- ; ~; n. (111), act of separating one from another, separation, schism, secession; forking, division, junction of road; cf. njahũkano, njatakano. wamũkano, n. cl. 14 only, state of separation (mainly of living things), division; cf. watakano. [amũka]"
103,"receive (from another), accept, take what is offered","detach oneself, separate oneself from others","amũkira?z, v.t. & i. (1), receive (from another), accept, take what is offered; cf. iyũkia; ~ mũgeni, give hospitality to a stranger or guest. amũkiranga, diff. amũkanĩra, rec. receive or accept others, receive each other. amũkaniria, caus. rec. receive together. amũkĩria, caus. 1, take up, join in, respond to, answer (a cry of alarm, &c.); cf. ĩtĩka mbu. 2. sing back refrain of a song, sing loudly; respond heartily ; ~ ta kiama gĩa Gura, assent by responding heartily without reflection; see kũya, gathirĩria. amũkĩrithia, d. caus. help sb. in receiving. amũkirĩka, st. pot. be receivable. amũkirira, app. receive, accept for, at. amũkũra / amũkũria, (N.K.), see amũkiria. v.t. (11), set apart, set aside; consecrate, ordain. famaũra, refl. 1. detach oneself, separate oneself from others; stand, sit, apart. 2. dedicate oneself. amaamũra, dim. amũranga, diff. amũrana, rec. apportion share. amũrania, caus. rec. separate out (sheep from goats, &c.), segregate. famũrania, refl. caus. rec.; ~ na, separate oneself from. d. caus. amũrika, st. pot. amũrĩra, app. set apart, separate, consecrate, for, at. amũka, v.i. (of goat from herd, &c.) separate, be, become, detached, separated. amũkana, rec. neut., amũkanira, assoc. neut., amũkĩra!, app. get separated out at; split off because of."
