ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
4242,scrapings of a pot (specially liked by children and women).,scrapings of a pot (specially liked by children and women),"makũro | (N.K.) makuro, n. cl. 6 only (1), scrapings of a pot (specially liked by children and women)."
4243,grown old.,grown old,"-kũru, a. (1v), grown old. [kũra?]"
4244,"condition of being aged or of mature years, old age.","condition of being aged or of mature years, old age","ũkũrũ, n. cl. 14 only (1v), condition of being aged or of mature years, old age. [kũra?]"
4246,,REFERENCE,"rũkũrũ, see ngũrũ."
4247,,REFERENCE,"gakũrũe, see under ngũrũe."
4249,1.,of sound made by a cow-bell or things rattling inside a tin tied to the legs during a dance,"kũrũkũrũ, ideo. (1), 1. descr. of sound made by a cow-bell or things rattling inside a tin tied to the legs during a dance. 2. name given to a dance song with political significance sung in the 1929-30 period."
4250,"(N.K.) be adamant, insistent.","() be adamant, insistent","kũrũma, v.i. (1), (N.K.) be adamant, insistent. kũrũmana, rec. inten. of above."
4251,(cl. 1/2 concords) (mainly N.K.) agnate named after recent or remote male ancestor,(mainly ) agnate named after recent or remote male ancestor,"kũrũngũ, see ngũrũngũ. ~, n. (x1), (cl. 1/2 concords) (mainly N.K.) agnate named after recent or remote male ancestor; mũndũ wa ~, man belonging to this category, senior man in village named after member of clan which ‘married’ his mother, contrasted with gĩthũmba q.v.; cf. thũmi, nyamũriũ, mwene mcii."
4253,shrub whose roots are used as an appetizer.,"shrub whose roots are used as an appetizer. ngũrũriti, ~, n. solution of the above shrub made from pounded roots and used during meat feasts as an appetizer","mũkũrũriti, mi-, n. (x1), shrub whose roots are used as an appetizer. ngũrũriti, ~, n. solution of the above shrub made from pounded roots and used during meat feasts as an appetizer."
4254,"a line scraped on the ground, a scratch, a scrape. [kũra","a line scraped on the ground, a scratch, a scrape","mũkũrũro, mi-, n. (1), a line scraped on the ground, a scratch, a scrape. [kũra:]"
4255,scrapings from cooking-pot (often given to toothless old women and small children as a soft food).,scrapings from cooking-pot (often given to toothless old women and small children as a soft food),"(i-) makũrũro, n. (1), scrapings from cooking-pot (often given to toothless old women and small children as a soft food). [kũra!]"
4256,"a small shrub, snowberry.","a small shrub, snowberry","mũkũrũrũ mr-, n. (1), a small shrub, snowberry."
4257,descr. of advanced age,of advanced age,"kũrũrũrũ, ideo. (1), descr. of advanced age; kũra ~, be very old, extremely old. [kura?]"
4259,,REFERENCE,"gĩkũ [gĩkũ], see under -u."
4262,"ri. pull out by roots, pull out of ground, uproot",pull out people’s teeth (in general sense),"kũra, v.t. & i. (11), ri. pull out by roots, pull out of ground, uproot; ~ igego, pull out a tooth; ~ njoya, pluck feathers off a bird; ~ maitho, open eyes wide, stare at, pull eyes of slaughtered animals out of sockets; cf. munya. 2. move, remove; depart, move faster, hurry; ~ magũrũ, lift your feet off the ground, hurry up; ngaari nĩya~, the train (lorry) has started, 3. put down bail for sb., buy back, redeem; hire (head-dress); ~ kĩgenyo, present evidence to get sb. acquitted of a false charge; ~ bũrũri, (of ituĩka ceremony) redeem country from outgoing generation set. refl. redeem oneself; convince authority, court, that one is innocent. kũrakũra, dim. kũgrakũrũkia, caus. neut. dim. (of tired travellers) move faster as it gets late in evening. kũranga, diff. kũrana, rec. 1. ~ tgego, pull out people’s teeth (in general sense). 2. put down bail so that people may be released. 3. distinguish between; esteem, respect; discern, differentiate; know, recognize; ~ ndeto, elucidate the matter; ndicikũratine, I cannot tell the difference between them. refl. rec. be different, distinct from; be recognizable among others. kũrania, caus. rec. exchange, barter, interchange. kũranika, st. pot. rec. be able to be interchanged. kũranira, app. rec. 1. explain to, expound for. 2. make distinction between sth. and sth. clear to sb. kũraniria, caus. app. rec, exchange one thing for another for sb.; barter for sb. kũrithia, d, caus. ~ drive a car away. kũrĩka, st. pot. 1. be pullable. 2. be hireable, redeemable. kũrĩkana, rec. st. pot. be distinguishable one from another. rira, app. 1. pull out of ground for, at; ~ maitho, stare at. 2. pay money so that sb. else may get back his property. kũririra, inten. r. shift (a boundary mark). 2. move farther on, go on step by step, by successive stages; ~ magũrũ, move faster, accelerate, hurry up (before it gets dark, &c.). kũrũka, neut. 1. be uprooted, come out by force; cf. munyũka, gũka. 2. get up and depart. kũrũkangia, caus. diff. neut. move a bit faster. rec. neut. ~ na, be different, differentiated from. kũrũkia, caus. neut. Ĩ. uproot, pluck out by roots. 2. ~ magũri, move faster. d. caus. neut. (of fighting bulls) defeat and cause to run away. kũrũkithania, d. caus. rec. neut. (of victorious bull, &c.) chase the defeated one. niria, d. caus. rec. app. neut. (of fighting bulls, &c.) chase one another across, through, at, a place. kũrũkithiria, d. caus. app. neut. (of victorious bull, &c.) chase across, through, at."
4263,small tree (Combretum guernizũ),mũrema,"mũkũra, mi-, n. (11), small tree (Combretum guernizũ); cf. mũhurangware, mũrema. ngũra, ~, n. long flat seed-pod of this tree used in cleansing ceremonies to scoop up concoction and put to lips of patient to spit out."
4264,n.,disease which paralyses the legs,"mũkũra-magũrũ, (mi-), n. (II1-1), disease which paralyses the legs."
4267,"1. one who uproots, plucks out. 2. redeemer","one who uproots, plucks out","mũkũri, a-, n. (11), 1. one who uproots, plucks out. 2. redeemer; (Bibl.) Saviour. gikũri, i-, n. 1. ransom, anything given to redeem what is held to ransom, to recover sth. given as a pledge or in temporary payment, the price of a garden returned to a tenant by the owner when he wants to regain possession. 2, any instrument by which anything is extracted, forceps, &c. ũkũri, mokũri [mookũri]; ikũri, ma-; n. redemption, buying back; emancipation, deliverance, [kũra]"
4268,place of uprooting.,place of uprooting,"ikũriro, ma-, n. (111), place of uprooting. Njũgũma njega yumaga ~, the excellence of a club depends on where it was pulled. [kũra]"
4269,n.,"plain, unappetizing food (without fat or relish)","mũkũrũ, (mi-), n. (vi), plain, unappetizing food (without fat or relish)."
4270,"sing solo part of, lead in, a song","lead singing at, for. 2","kũya, v.i. & t. (11), sing solo part of, lead in, a song; lead singing at a dance; see oerera rũĩmbo, amũkiria, thuthira, kũyakũya, dim. kũyanga, diff. caus, rec. kũyanira, app. rec. kũyanĩria, caus. app. rec. kgithia, d. caus. kũira, app. 1. lead singing at, for. 2. set a price; act as a salesman at an auction. kũiriria, caus. inten. I. applaud, shout in acclamation, cheer. 2. sing the dance summons song (so that others may hear and come). 3. boo, heckle; cf. ugiriria."
4271,1. (cl. 1) name of the legendary father of the Kikuyu peopie,(cl,"Gikũyũ, n. cl. i and cl. 7 (111), 1. (cl. 1) name of the legendary father of the Kikuyu peopie; see also Mũmbi. 2. (cl. 7) the Kikuyu people, Kikuyu country, Kikuyu language; ciana cia ~ (na Mũmbi)}, (praise or ceremonial name for the Kikuyu people) the children of Gikũyũ (and Mũmbi); ~-ĩni, in Kikuyu country, according to Kikuyu custom; aria ~, speak in the language others understand, be conventional. Mũgikũyu [Mũgikũyũ], A-, n. a person belonging to the Kikuyu people; ~ gathirange, a thoroughbred Kikuyu. Gĩgikũyu [Gũgikũyũ], n. ci. 7 only, Kikuyu language, custom, and lore. Ugikũyũ [Ũgĩkũyũ], n. cl. r4 only, Kikuyu tribal life, custom, lore; Kikuyu language or idiom; Kikuyu country (Fort Hall and S. Nyeri districts at the heart of which is the traditional home of Mũmbi at Makũrũe-wa-Gathanga)."
4272,1. sp. of wild fig-tree (Ficus mallatocarpajsycomorus) which figures in Masai Guild initiation rites,wild fig,"mũkũyũ, mi-, n. (11), 1. sp. of wild fig-tree (Ficus mallatocarpajsycomorus) which figures in Masai Guild initiation rites; cf. 2. female sheep of uniform brown colour. 3. brown, pink, grey (colour); mbembe ĩrĩ ~, cob of maize with some grains other than white; ~ wa gumo, thonjo, piebald. kĩmũkũyũ, i-, n. (usu. with cl. concords) ram of brown colour. ikũyũ, ma-, n. leaf of wild fig-tree (used in magic rites, e.g. for sterility). ngũyũ, ~, n. 1. wild fig. 2. white pigmentless patch on the body which the person does not like to have seen. n. cl. 14, milky sap of the wild fig-tree (used as gum for fixing arrow-feathers and sinewbindings to shaft)."
4273,,REFERENCE,"makũyũkũyũ, see makũkũ."
4274,skin disease in sheep.,skin disease in sheep,"mũkũyũkũyũ, mĩ-, n. (v), skin disease in sheep."
4276,leather strap used for tying up and carrying loads,nickname for a woman,"mũkwa, mĩ-, n. (11), leather strap used for tying up and carrying loads; any large strap, riem for oxen; ruta ~, get furious, violent; ~ wa long strap for hauling up or lowering a beebarrel. rũkwa, ngwa, n. narrow leather thong; (N.K.) measuring tape. nyamikwa, n.; kĩondo kĩa ~, large woven bag with thong or sling for carrying, usually round forehead; cf. mbawa. nyarũkwa, ~, n. with cl. 1/2 concords, nickname for a woman."
4277,yam plant and tuber (Diocrorea),"yam plant and tuber (Diocrorea): matim wa ~, see","gĩkwa, i-, n. (11), yam plant and tuber (Diocrorea): matim wa ~, see ; ~-kĩa-ngoma, a small wild plant with yam-like roots; ihĩndĩ rĩa ~, hard woody corm from which the tubers grow down, cf. ; see also mũcoho, ngiriri, ngwa-njirũ, mũrema-ageni,"
4278,,REFERENCE,"kwagitai, see under gita."
4280,,REFERENCE,"kwanyu, see under -anyu."
4281,,REFERENCE,"kwao, see under -ao0.,"
4284,1. bracelet of raw goatskin or sheepskin put on a man’s wrist in certain ceremonies for cure of sickness or ritual pollution,bracelet of raw goatskin or sheepskin put on a man’s wrist in certain ceremonies for cure of sickness or ritual pollution,"rũkwaro, ngwaro, n. (1), 1. bracelet of raw goatskin or sheepskin put on a man’s wrist in certain ceremonies for cure of sickness or ritual pollution ; mbũri ya ~, see mbũri; tũrĩ ~ na, we are on peaceful terms with. 2. long strap for hauling up or lowering beebarrels; cf. wa mwatũ. 3. tapeline, surveyor’s chain. 4. (N.K.) narrow strip of garden, cf. rathanju."
4285,,REFERENCE,"kwarũma, see under rama,"
4286,,used when tickling sb,"kwekwekwe, ideo. (1) used when tickling sb."
4288,,REFERENCE,"kwerũ, see under -erũ."
4289,small tree (Pauridiantha holstii).,small tree (Pauridiantha holstii),"mũkwethi, mĩ-, n. (1v), small tree (Pauridiantha holstii). ngwethi, ~, n. fruit (berry) from same tree."
4290,descr.,of sound of singing in the ears,"kwii, ideo. (U), descr. of sound of singing in the ears."
4291,queen.,queen,"kwini, ma-, n. cl. 1/6 or 1/2 (1x), queen. [E.] kwinini, ~, n. (111), quinine. [E.] gakwiyana, tũ-, n. (Ix), piece of red cloth which used to be worn by warriors as part of their war attire."
4292,,REFERENCE,"kwi, see kũri."
4293,,REFERENCE,"makwiri, see bari-kwiri."
4294,"string, stream, column of people, &c. nyitana ~, join in a gang, move in a long procession","string, stream, column of people, &c","mũkwiri [mũkwiiri], mĩ-, n. (11), string, stream, column of people, &c. nyitana ~, join in a gang, move in a long procession; oyana ~, converge into a single stream; cf. mũkũikũ,"
4296,,REFERENCE,"kwoguo, see under Ũguo."
4297,,REFERENCE,"kwondũ, see under M"
4298,"indic. assent or approval, yes","assent or approval, yes","m-m, interj. (U), indic. assent or approval, yes; cf. ĩ."
4299,"used to rebuke, check, or frighten a child, also to check a herd of goats or sheep about.to trespass.","used to rebuke, check, or frighten a child, also to check a herd of goats or sheep about","ma, interj. (U), used to rebuke, check, or frighten a child, also to check a herd of goats or sheep about.to trespass. ma-ma-ma, (with vowels nasalized) used to urge a herd to run in an emergency."
4300,1. truth,"truthfulness, truth, fact","ma-, ~, n. (I1), 1. truth; maũnd ma ~, true things; nĩ ~ atĩ, it is true that; uga na ~, speak truth about; horo wa ~, sth. true, a true statement; ũria kũrĩ ~ nĩ atĩ, the fact is that; ũhoro Ũrĩa wa ~, the truth; ~ ya Ngai, God’s truth; ~ njega, there is no proof; toĩmenye ~ ya ũhoro ũcio, that we may learn the facts of the matter; gra na ~, feel sure, be sure, 2. (as adv.) truly, certainly, very ; nĩ ~, it is very heavy; cf. mũno. ũma [ũma], n. cl. 14, truthfulness, truth, fact."
4301,1.,REFERENCE,"ma-, conc. prefix (U), 1. Dn, a., & p.c. cl. 6. 2. alternative n., a., & p.c. cl. 2, see a-, 3. pron. subj. prefix ref. to 3rd pers. pl. (n. cl. 2). 4. pron. subj. prefix ref. to n. cl. 6."
4302,ref.,and cl,"-ma-, obj. infix (U), ref. to 3rd pers. pl. (n. cl. 2) and n. cl. 6."
4304,place to lie down in.,place to lie down in,"ũmaamo, n. cl. 14 (111), place to lie down in. [maamaj"
4306,,REFERENCE,"maara, kĩmaara, see under maara."
4309,1.,"seeking to acquire wealth by going into employment, endeavour to gain possessions","ũmaathi, n. cl. x4 (1), 1. seeking to acquire wealth by going into employment, endeavour to gain possessions. 2. acquired wealth, substance, possessions. [maatha]"
4310,prolonged quest for food or money.,"process of gathering food, searching for money, &c","rũmaatho, maatho, n. (1), prolonged quest for food or money. n. cl. 14 only, process of gathering food, searching for money, &c. [meatha]"
4311,map.,map,"mabu [maabu] / mebu [meebu], ~ n. (1), map. [E.}]"
4313,"stretcher, litter.","stretcher, litter. [Sw","macera [maceera], ~, n. (VI), stretcher, litter. [Sw. MACHELA]"
4314,machine.,machine,"macini, ~, n. (1x), machine. [E.]"
4315,"boat, rowing-boat, canoe.","boat, rowing-boat, canoe","macua [macuwa], ~, n. (1x), boat, rowing-boat, canoe. [Sw. MASHUA]"
4316,,REFERENCE,"macuke, see under icuke."
4317,"female goat, cow, or sheep whose ears have been lopped.",male stock with this characteristic,"macuure, ~, n. cl, 9/10 (111), female goat, cow, or sheep whose ears have been lopped. gĩcuure, i-, n. with cl. 9/10 concords, male stock with this characteristic. [cuura?]"
4318,"magazine, periodical.","magazine, periodical","magathini, ~, n. (xu), magazine, periodical. [E.]"
4319,"mark in examination, &c.","mark in examination, &c","magithi [maagithi], ~, n. (vinr), mark in examination, &c. [E."
4320,,REFERENCE,"magite, see baite."
4321,name of one of the two generation-sets into which the Kikuyu are divided (theoretically alternating under the Ituĩka system,"every boy at birth becomes a member of one generation or the other according to lineal succession, he and his grandfather being nominally of the same generation-set)","Maina, n. (11), name of one of the two generation-sets into which the Kikuyu are divided (theoretically alternating under the Ituĩka system; every boy at birth becomes a member of one generation or the other according to lineal succession, he and his grandfather being nominally of the same generation-set); see Mwangi, rika."
4322,,REFERENCE,"mainaba, see riinabu."
4323,mile.,mile,"mairo / mair, ~, n. (u1), mile. [E.]"
4328,,"be frightened, surprised, shocked","maka, v.i. (1) be frightened, surprised, shocked. makamaka, dim. makanga, dif. makania, caus. rec. startle, shock (people or animals). makanira, assoc. makaniria, caus. assoc., makia, caus. makithia, d. caus. ĩmakithia, refl. d. caus. feign surprise, consternation, apprehension. makika, st. pot. makira, app. makiria, caus. app. makũra, conv. makũka, neut. get free from fright."
4329,,one who shocks people,"mũmakania, a&-, n. (11) one who shocks people. [maka]"
4330,,REFERENCE,"makanika, see under ikanika."
4331,,"that gives people a shock, a cause of consternation, alarm, panic","kĩmakanio / kĩmakania, i-, n. (1); nĩ wa (wi) ~, sth. that gives people a shock, a cause of consternation, alarm, panic. [maka]"
4333,"tũ-, n. (1-11), quail (which has a habit of rising almost from under one’s feet)",quail (which has a habit of rising almost from under one’s feet),"kamakia(-arũme), tũ-, n. (1-11), quail (which has a habit of rising almost from under one’s feet); cf. gatitimũki. [maka]"
4334,"n. (1-v11), full moon rising red",full moon rising red,"kĩmakia-thinwa, (i-), n. (1-v11), full moon rising red; see thinwa. [maka]"
4335,,REFERENCE,"makiria, see makiria."
4337,"lie down, go to sleep",bend over,"mama [maama], v.i. (11), lie down, go to sleep; (of pitch of roof, corn lying before wind, rain, &c.) be almost flat on the ground; cf. koma. mamamama, dim. mamanga, diff. mamanira, assoc. lie on each other, lie down at the same time as sb. else. mamaniria, caus. assoc. mamia, caus. cause to lie flat, bend sth. over. imamia, refl. mamithia, d. caus. mamika, st. pot. mamira, app. lie (down) on. mamiria, caus. app. mamirira, inten., lie quite flat. mamiriria, caus. inten. 1. bend sth. over; ~ wĩra, cause work to drag, procrastinate; ~ suppress news, discussion ; ~ matumbi, (of a hen) sit on eggs; cf. komereria. 2. force, keep, tread; oppress, suppress, repress. 3. surpass; ndangĩ~ M. na kruta wĩra, he could not be better than M. at his work. 4. be indolent, procrastinating; cf. kamamiriria. ĩmamariria, feel lazy about starting to do sth. conv. hit with sth. flat. ."
4339,"a blotch on the skin, birth-mark.","a blotch on the skin, birth-mark","mama? [maama], ~, n. (v1), a blotch on the skin, birth-mark."
4341,,,"mũmama-kuuraga [mũmaama-], n. one who rests where it rains (euphemism for a dead person). [mama]"
4342,"madam, lady of the house.","madam, lady of the house","mamithabu [mamithaabu] / marithabu [marithaabu], ~, n. with cl. I/2 concords (xn), madam, lady of the house. [Ind. MEM SAHIB]"
4345,"walk about, pay visits. manamana, dim., (of sb. wanting to show off) stroll about, potter around","walk about, pay visits","mana, v.i. (11), walk about, pay visits. manamana, dim., (of sb. wanting to show off) stroll about, potter around; busy, bestir oneself. manamania, caus. dim. {ĩmanamania, refi. caus. dim. manamanira, app. caus. dim. ; ~ ũyũ egagũre, prepare breakfast for this elder. mananga, diff. manania, caus. rec. mananira, app. rec. mananiria, assoc. manithia, d. caus. manika, st, pot. manira, app. manirira, inten., maniriria, caus. inten. treat lightly, take little notice of, ignore; put off, temporize; cf. thahĩriria. manũka!, neut. spend time idly going from place to place; wander around for no good purpose. diff. neut."
4347,"~~, n.",steinbok,"manathi [manaathi]), ~~, n. (1), steinbok. kamanathi, tũ-, n. dim. of above."
4348,"I. spinach, greens (for eating)","spinach, greens (for eating)","mani, ~, n. (111), I. spinach, greens (for eating); cf. nyeni, mboga. 2. (N.K.) a variety of kidney bean; cf. mboco."
4349,1.,"feckless, restless person, gadabout, stroller. 2","kĩmani, i-, n. (111), 1. feckless, restless person, gadabout, stroller. 2. a man’s name."
4350,,REFERENCE,"maniani, see mbaniani,"
4351,n.,dance of young men and women,"maninja, see menenja. kamanũ, (tũ-), n. (1v), dance of young men and women."
4352,"naval vessel, man oo'`war.","naval vessel, man oo'`war. [E","manũari, ~, n. (1x), naval vessel, man oo'`war. [E. MAN-OF-WAR]"
4353,,REFERENCE,"manũka?, see menũka."
4354,1. make smooth,make smooth,"manda, v.t. (11), 1. make smooth; (with ref. to dough, clay, malleable metals) knead, expand by hammering flat, pat (chapatties, rissoles) between hands to flatten ; squeeze out of shape, pound (in a mortar). 2. (coll.) cheat, deprive by trickery; cf. anda. mandanga, diff., mandana, rec. mandania, caus. rec. mandanira, app. rec. mandaniria, caus. app. rec. mandithia, d. caus. mandika, st. pot. mandira, app. mandirira, inten. mandiriria, caus. inten. I1. flatten out completely. 2. impoverish by extortion, extravagance; be a drain on. mandũra, conv. beat flat, flatten out. mandũka, neut. fall flat; come a cropper."
4355,anything kneaded or flattened out (e.g. the face of the cutting edge of a stick),anything kneaded or flattened out (e,"kĩmanda, i-, n. (11), anything kneaded or flattened out (e.g. the face of the cutting edge of a stick); see ihuru. rũmanda, n. long fiat surface of malleable substance. [manda]"
4359,,REFERENCE,"Mandũti, see under ndũti."
4360,"1. (of a kid or lamb) bleat for its mother, nuzzle for teats. 2. be prying, inquisitive about other people’s affairs. 3. toddle like a baby. mangamanga, dim. mangamanganga, diff. mangamangira, app. mangara, stc. be greedy, ravenous, insatiable for food","(of a kid or lamb) bleat for its mother, nuzzle for teats","manga, v.t. & i. (11), 1. (of a kid or lamb) bleat for its mother, nuzzle for teats. 2. be prying, inquisitive about other people’s affairs. 3. toddle like a baby. mangamanga, dim. mangamanganga, diff. mangamangira, app. mangara, stc. be greedy, ravenous, insatiable for food; cf. koroka, haha, hagaya, toa, mauria."
4361,,&c,"Manguca, n. (x1) (N.K.) name of a former regiment of the left-hand initiation (alternating with Ngũnjiri, &c., as borne by the right-hand initiation groups); cf. rika, gĩtienye, tatane."
4362,"bottle-shaped gourd made into a lidded container used by old men for storing away oddments such as pegs for pegging out goat-skins, leather straps for goatbells, wax, branding irons, &c.","bottle-shaped gourd made into a lidded container used by old men for storing away oddments such as pegs for pegging out goat-skins, leather straps for goatbells, wax, branding irons, &c","kimanguru, i-, n. (1v), bottle-shaped gourd made into a lidded container used by old men for storing away oddments such as pegs for pegging out goat-skins, leather straps for goatbells, wax, branding irons, &c.; cf. gĩtete,"
4363,,REFERENCE,"mangũ, see maangũ."
4364,1. one given to unseemly joking,one given to unseemly joking,"kamangũ, tũ-, n. (v), 1. one given to unseemly joking; one who says things that are not polite to relations-in-law ; cf. (N.K.) kahango. 2. voracious person; see mangamanga."
4365,enemy.,enemy,"mang’ati, n. cl. ro (111?), enemy. [cf. Ma. IL-MANG’ATI]"
4367,,person sent by Njama to intimate indirectly to sb,"kamanja, tũ-, n. with cl. 1/2 concords Gn); ~ wa njama, person sent by Njama to intimate indirectly to sb. that a curse will be put upon him unless he complies with recognized custom or with their demands."
4368,"descr. of rattling, jingling sounds","of rattling, jingling sounds","manjarara, ideo. (111), descr. of rattling, jingling sounds; tinkle tinkle; ikia mbugi ~, tinkle the bell."
4369,"(of millet heads, maize cobs, &c., tied together) bundle","(of millet heads, maize cobs, &c","kĩmanjika, i-, n. (x1), (of millet heads, maize cobs, &c., tied together) bundle; (of grapes) cluster."
4374,,REFERENCE,"ũmarakara, see under irakara."
4375,"(of children) be naughty, difficult, obstinate, heedless, reckless, wicked, vicious.","(of children) be naughty, difficult, obstinate, heedless, reckless, wicked, vicious","maramara, v.i. (11), (of children) be naughty, difficult, obstinate, heedless, reckless, wicked, vicious. maramaranga, diff. maramarania, caus. rec. maramaranira, app. rec. maramaraniria, caus. app. . rec. maramaria, caus. maramarithia, d. caus. maramarika, st. pot. maramarikia, caus. st. pot. maramarikira, app. st. pot. maramarira, app. maramariria, caus, app. maramarũka, neut. be extremely naughty. maramarũkira, app. be extremely naughty, to, at."
4378,,"nguo ya ~, cloth of double width, double thickness","maratubu, n. nguo ya ~, cloth of double width, double thickness. [Sw. MARADUFU]"
4380,"(N.K.) (of flocks and herds, ants, people) tread down, lay (long grass) flat.","() (of flocks and herds, ants, people) tread down, lay (long grass) flat","maria [maaria], v.i. (1?), (N.K.) (of flocks and herds, ants, people) tread down, lay (long grass) flat."
4381,female goat with long matted hair.,"female goat with long matted hair. nyamariethe, ~, n. cow with long woolly hair (a term confined to European cross-breeds)","mariethe, ~, n. cl. o/10 (v), female goat with long matted hair. nyamariethe, ~, n. cow with long woolly hair (a term confined to European cross-breeds). kĩriethe, i-, n. with cl. 9/10 concords, ox or bull of this kind."
4383,,REFERENCE,"marikabu, see merikebu."
4384,cotton sheeting.,cotton sheeting,"marikano, ~, n. (111), cotton sheeting. [cf. Sw. AMERIKANI]"
4386,,REFERENCE,"marithabu, see mamithabu."
4387,"(N.K.) settle down (in a new homestead after moving one’s old abode to another site, &c.)","() settle down (in a new homestead after moving one’s old abode to another site, &c","marira [maarira], v.i. (11), (N.K.) settle down (in a new homestead after moving one’s old abode to another site, &c.); lead a quiet and comfortable life; cf. hurũka, gaacira."
4388,ewe of grey colour.,"vapour arising after rain, spray from a waterfall","marumbi, ~~, n. cl. 9/10 (v), ewe of grey colour. kĩrumbĩ, i-, n, 1. vapour arising after rain, spray from a waterfall. 2. (with cl. 9/10 concords) ram of grey colour."
4390,,"greedy, rapacious man","kĩmarũ, i-, n. greedy, rapacious man; see koroka, haha, aha, hahama, hahanya, mangara."
4391,1. (of liquids) coagulate,(of liquids) coagulate,"mata, v.i. (1), 1. (of liquids) coagulate ; become viscous, thick, heavy. 2. be foolish. matamata, dim. matamatia, caus. dim. matanga, diff. matana, rec. matania, caus. rec. matanira, app. rec. mataniria, caus. app. rec. matia, caus. make clot; ~ horo, elaborate a topic; make a story interesting, witty; ~ rũĩmbo, give volume to a song. matithia, d. caus. matira, app. matiria, caus. app. matũra, conv. make thin, dilute a thick, concentrated, solution. matũka, neut. 1. be, become, thin, diluted, 2. (of thick liquids) run."
4392,,"(of liquids) thick, viscous","-mata, a. (1) 1. (of liquids) thick, viscous; iria i~, Ĩ thick, sour milk. 2. (of materials) stout; mũrengeti mũ~, a thick warm blanket. [mata]"
4393,,REFERENCE,"kamatimũ, n. (U); kiama gĩa ~, see under"
4396,"see thamaka,.",,"mathaka (N.K.), see thamaka,."
4397,,REFERENCE,"mũmathaki, see mũthamaki."
4399,(R.C.) nun.,(R.C,"mathia [mathĩya], ~ | ma- | a-; wamathia | wa-mathia, nyamathia; n. cl. 1/2 or 6 (11), (R.C.) nun. [Fr. MA SŒUR]"
4400,descr.,"of voracious devouring, the ravenous gobbling of a goat, the half-snarling halfgulping eating of a hyena","mau-mau!, ideo. (1), descr. of voracious devouring, the ravenous gobbling of a goat, the half-snarling halfgulping eating of a hyena."
4402,1.,small wild cat,"kamau, tũ-, n. (1v), 1. small wild cat. 2. name of one of the earliest agegrades, often used as a proper name."
4404,(N.K.) sth.,() very large and open,"kĩmauwa, i-, n. (V11), (N.K.) sth. very large and open."
4406,1.,tiny blueblack insects which collect on puddles after continued heavy rain,"ũme, n. cl. 14 only (1), 1. tiny blueblack insects which collect on puddles after continued heavy rain. 2. blight of black aphis attacking field beans, orange-trees, &c."
4407,,REFERENCE,"meciria, see rĩciria."
4408,,(of sheep or goat) baa!,"mee, ideo. (U), (of sheep or goat) baa!"
4409,"container of calabash type or of wood used for carrying snuff, honey, eggs, &c.","container of calabash type or of wood used for carrying snuff, honey, eggs, &c","kĩmee, n. (vin), container of calabash type or of wood used for carrying snuff, honey, eggs, &c.; cf. kĩrangi."
4410,"play with, fondle, caress (a child). meemameema, dim. meemanga, diff. meemana, rec. meemania, caus. rec. spar, feint, attack one another in fun, fence","play with, fondle, caress (a child)","meema, v.t. (11), play with, fondle, caress (a child). meemameema, dim. meemanga, diff. meemana, rec. meemania, caus. rec. spar, feint, attack one another in fun, fence; vie with one another in play or dance; ~ na, play with, tease. meemanira, app. rec. meemaniria, caus. app. rec. meemia, caus. I. play with, fondle, caress, pet, tease. 2. incite to action, encourage sb. to do sth., encourage a child to play. ĩmeemia, refl. caus. meemithia, d., caus. meemera, app. meemeria, caus. app."
4411,one who by his action provokes others to take action.,one who by his action provokes others to take action,"kĩmeemia, i-, n. (1), one who by his action provokes others to take action. [meema]"
4412,Luo.,Luo,"Mũmeera [Mũmeera], a-, n. (VIII), Luo. kĩmeera [kĩmeera], n. Luo language. [Luo. OMERA]"
4413,,REFERENCE,"megea, see mwegea,"
4414,"suppositions, opinions, guesses. [gera!] megithi, see mũgithi. mego, see under rĩego. mehia, see under mwihia, mehiũria, see rĩhiũria. mehotoro, see under mwihotoro. mehũga, see under riibũga. meiga, see maĩga. mekameka, v.i. (1) be agitated, breathe fast","suppositions, opinions, guesses","megepa, see rĩepega. megeka, see under mwigeka. megererio [meegererio], n. cl. 6 only (111), suppositions, opinions, guesses. [gera!] megithi, see mũgithi. mego, see under rĩego. mehia, see under mwihia, mehiũria, see rĩhiũria. mehotoro, see under mwihotoro. mehũga, see under riibũga. meiga, see maĩga. mekameka, v.i. (1) be agitated, breathe fast; cf. nikanika, nehaneha. mekamekanga, diff. mekamekanira, app. rec. mekamekaniria, caus. app, rec, mekamekithia, d. caus. mekamekeka, st. pot. mekamekera, app."
4415,,REFERENCE,"meko, see under wiko,"
4416,,REFERENCE,"mekũa / mekũo, see under mwikũo."
4417,"x. expect sth. to be done for you habitually, as a right",expects th,"mema, v.i. (1), x. expect sth. to be done for you habitually, as a right; take sth. or sb. for granted. 2. (of a child or animal) be, become, spoilt; become a sponger on another person. 3. become assured, confident, bold, impudent. memamema, dim. memanga, diff. memanira, app. rec. memaniria, caus. app. rec. memia, caus. I1. expects th. habitually. 2. pet, spoil (children, animals). 3. take liberties, evince playfulness towards, be familiar. memithia, d. caus. memera, app. memeria, caus. app."
