GLOBAL_INDEX,WORD,NOUN_CLASS,PAGE-COLUMN,FULL_ENTRY,FREQUENCY
2226,inda,9|10,P63-C1,"inda, H10, ventre, abdomen. Ubukûnzi bw'inda, gourmandise. || Vagin du bétail. nda y'amèganga. Bashira umûúti mu-nda yamaganga, on met du remède dans le vagin, || Grossesse, Gutwâra inda, être enceinte. Kubâ ku-nda, être en travail, cprouver les douleurs de lVaccouchement. || Par ext, caractère. Inda mbí, rancunier, Kugira inda nzīzá, avoir bon caractère. Gutêra inda mbi, corrompre qan, retourner gan, changer ses sentinents favorables, en faire un ennemi. Kugira inda igumyé, constipé; (fig.) avoir un caractère fermé, réservé. Kugira yōróshe, ĉire franc, ouvert. Kubá inda nsa, ëtre simple, franc. Inda nyango, caractère franc, expansif. Inda ngàári, gourmand. Kugira inda ndende, étre gourmand. Fig. N'inda n'indēsho, je suis trop petit, je nose pas. Inda ntindi, gui perd tous ses enfants en bas âge. Kuja mu-nda, firer les vers du nez. Loc. cfr -bîka, -têra. Prov. 175, 239, 240, 320, 397, 524, 727, 805, 887, 1043, 1015-1042, 1044, 1050, 1054, 1067, 1138, 1153, 1257, 1278, 1343, 1391, 1549, 156lf, 1612, 1625, 1652, 1653, 1654, 1756, 1802, 1816, 1880, 1952, 1994, 2071, 2073, 2136, 2191, 2193, 2230, 2375, 2440, 2442, 2478, 2642, 2720, 2941, 3031, 3215, 3248, 3271, 3307, 3309, 3373, 3393, 3731, 3767, 3951.",1
2227,akómunda,12|13,P63-C1,"akómunda, 1218, (cfr -da 9), diarrhée. Syn. icîbwamwo. Uryá mwâna arwaye akómunda, cet enfant a la diarrhée.",1
2235,Nsumírinda,1a|2a,P63-C1,"Nsumírinda, Bānsúmirinda, lala, (-sumapprovisionner, -da 9 ventre) surnom de l'égoiste. Syn. Ndirikirikēsha.",1
2437,Mudcnde,1a|2a,P68-C1,"Mudcnde, Bāmúděcnde, lalža, (cfr -děënde 3), appellatift du septième enfant. Var. Kadénde, Rwasa.",1
2438,akaděnde,12|13,P68-C1,"akaděnde, utu, 1l2j13, (cfr -dênder-), grelot servant d'amulette au septième enfant. V. -dëngġe la, 3.",1
2504,kudīga,,P70-C1,"kudīga, -dīze, moduler. Kudīga imvyíno, chanter des rondes populaires. Dīga turābé, commence donc à chanter, vas-y !, raconte !",1
2617,kudúgarika,,P74-C1,"kudúgarika, -tse, (cfr -dúgar-), ennuyer, attrister. Mettre dans Pembarras. Syn. kugōōra. indugi, 9j410, (cfr -dúgarar-), haine. Syn. urwânko. Jalousie, Syn. ishâri. Tristesse. Syn. umwikomo.",1
2644,kudūma,,P74-C2,"kudūma, -mye, bourdonner. || Voltiger. Prov. 107.",1
2670,idûndu,5|6,P75-C1,"idûndu, ama-, 5!6, (cfr -dûndarar-), petit paravent, cloison qu) sépare l'emplacement où lon met les poules la nuit dans la hutte: poulalier. Syn. igituru. Var. idŭunduru, Idûndu ry'inkóko, le poulalier.",1
2730,akêbo,12|13,P77-C1,"akêbo, utwêbo, 12|i3, (cfr (bo 7), vannerie dans laquelle on dépose la pâte dont chacun prélève au cours du repas, des boulettes, des bouchées. Prov. 282-283, 1707. MRA.C. 41. 549, 41.557, 41.596, 41.622, 41 626-41 627, 41.629-41.630.",1
2820,umwembe,3|4,P79-C2,"umwembe, imy-, 3t4, (sw.), mangue.",1
2841,umwěnda,,P80-C1,"umwěnda, imy-, (rw.), habit, étoffe. Syn.",1
3115,mafubo,,P88-C1,"mafubo, bāmafubo-, tal2a, (cfr -fub-), (préf. 6), bienfaiteur.",1
