,GLOBAL_INDEX,WORD,AFFIX,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY,FAILED,WORD_CLEAN,AFFIX_CLEAN,FULL_ENTRY_CLEAN
6429,6429,uruhúnihúni,impúnihúnií,1110,chose oubliée au sujet de ggn et qu'on recherche,n.,P180-C1,"uruhúnihúni, impúnihúnií, 1110, (cfr -húni 11), « chose oubliée au sujet de ggn et qu'on recherche», oui-dire. Syn. ikivúgwa. Gucá uruhúnihúni, enquêter, s'enquérir. Syn. kubáririkiza.",False,uruhúnihúni,impúnihúní,"uruhúnihúni, impúnihúnií, 1110, (cfr -húni 11), « chose oubliée au sujet de ggn et qu'on recherche», oui-dire. Syn. ikivúgwa. Gucá uruhúnihúni, enquêter, s'enquérir. Syn. kubáririkiza."
6476,6476,umuhûrano,imi,344,"remède, simples, feuilles séchées, triturées, pilées",n.,P181-C1,"umuhûrano, imi, 344, (cfr -hûr-) remède, simples, feuilles séchées, triturées, pilées. Syn. umusékurano.",False,umuhûrano,imi,"umuhûrano, imi, 344, (cfr -hûr-) remède, simples, feuilles séchées, triturées, pilées. Syn. umusékurano."
6484,6484,uruhurika,impūrika,11j10,variété de haricots.,n.,P181-C2,"uruhurika, impūrika, 11j10, (cfr -hûrik-), variété de haricots.",False,uruhurika,impūrika,"uruhurika, impūrika, 11j10, (cfr -hûrik-), variété de haricots."
6501,6501,igihurūduka,impurūduka,710,"irréfléchi, impulsif",adj.,P181-C2,"igihurūduka, impurūduka, 710, (cfr -hurūduk-), irréfléchi, impulsif. .",False,igihurūduka,impurūduka,"igihurūduka, impurūduka, 710, (cfr -hurūduk-), irréfléchi, impulsif. ."
6521,6521,uruhúsha,impúsha,11|10,semaine,n.,P182-C2,"uruhúsha, impúsha, 11l10, semaine. Syn.. indwi. Hahéze uruhúsha, une semaine plus tard. || Permission. Var. uruhúsa.",False,uruhúsha,impúsha,"uruhúsha, impúsha, 11l10, semaine. Syn.. indwi. Hahéze uruhúsha, une semaine plus tard. || Permission. Var. uruhúsa."
6578,6578,uruhwago,impwago,,bananeraie,n.,P184-C2,"uruhwago, impwago, bananeraie.",False,uruhwago,impwago,"uruhwago, impwago, bananeraie."
6609,6609,hwe,(inv.),,"en locution figée: ivyo biti hwe, ceci dit, ceci posé, une fois admis, après cela.",n.,P185-C1,"hwe, (inv.), (cfr -hú--), en locution figée: ivyo biti hwe, ceci dit, ceci posé, une fois admis, après cela.",False,hwe,(inv.),"hwe, (inv.), (cfr -hú--), en locution figée: ivyo biti hwe, ceci dit, ceci posé, une fois admis, après cela."
6650,6650,uruhwěza,impwěza,11|10,établir,v.,P186-C1,"uruhwěza, impwěza, 11|10, (cfr -hwêz-), étable. Var. uruhwilza. Syn. uruhcngore. Impwěza zisasíye zînyána, des étables où on a mis une litière pour les veaux.",False,uruhwěza,impwěza,"uruhwěza, impwěza, 11|10, (cfr -hwêz-), étable. Var. uruhwilza. Syn. uruhcngore. Impwěza zisasíye zînyána, des étables où on a mis une litière pour les veaux."
6670,6670,uruhwïjima,impwïjima,11|10,"étoffe soyeuse de couleur voyante, bariolée.",n.,P186-C2,"uruhwïjima, impwïjima, 11l10, étoffe soyeuse de couleur voyante, bariolée.",False,uruhwïjima,impwïjima,"uruhwïjima, impwïjima, 11l10, étoffe soyeuse de couleur voyante, bariolée."
6690,6690,umutîbágira,abatibágira,1|2,"rancunier, qui garde le souvenir des injures, qui n'oublie pas le mal",adj.,P187-C1,"umutîbágira, abatibágira, 1|2, (cfr -ibagir-), rancunier, qui garde le souvenir des injures, qui n'oublie pas le mal. Syn. intîbágira.",False,umutîbágira,abatibágira,"umutîbágira, abatibágira, 1|2, (cfr -ibagir-), rancunier, qui garde le souvenir des injures, qui n'oublie pas le mal. Syn. intîbágira."
6713,6713,icībukirizi,ivyibukirizi,,statue; mémorial.,n.,P187-C2,"icībukirizi, ivyibukirizi, (cfr -ibukiriz-), statue; mémorial.",False,icībukirizi,ivyibukirizi,"icībukirizi, ivyibukirizi, (cfr -ibukiriz-), statue; mémorial."
6723,6723,icīibutso,ivyibutso,,souvenir,,P188-C1,"icīibutso, ivyibutso, 78, (cfr -ibuts-), souvenir. Syn. agahêmbērá.",False,icībutso,ivyibutso,"icībutso, ivyibutso, 78, (cfr -ibuts-), souvenir. Syn. agahêmbērá."
6783,6783,umwîjo,imyîjo,3j4,Polygala ruwenzortiensis CHOD.,n.,P189-C2,"umwîjo, imyîjo, 3j4, Polygala ruwenzortiensis CHOD,",False,umwîjo,imyîjo,"umwîjo, imyîjo, 3j4, Polygala ruwenzortiensis CHOD,"
6787,6787,iyiiūriro,amījūriro,56,lieu du départ,n.,P189-C2,"iyiiūriro, amījūriro, 56, (cfr -ijūr-), lieu du départ. Moment du départ. Lieu de destination. Syn. igīro.",False,iyiūriro,amījūriro,"iyiūriro, amījūriro, 56, (cfr -ijūr-), lieu du départ. Moment du départ. Lieu de destination. Syn. igīro."
6802,6802,icîmbagútwi,v.,,creuser,v.,P190-C1,"icîmbagútwi, v. -twí.",False,icîmbagútwi,v.,"icîmbagútwi, v. -twí."
6832,6832,icimiriza,ivyimiriza,7|8,intention,n.,P191-C1,"icimiriza, ivyimiriza, 7|8, (cfr -imiriz-), intention, dessein. Ari mu cīimiriza c'ukudutabāra, íil a de nous aider.",False,icimiriza,ivyimiriza,"icimiriza, ivyimiriza, 7|8, (cfr -imiriz-), intention, dessein. Ari mu cīimiriza c'ukudutabāra, íil a de nous aider."
6951,6951,umwîshwa,abîshwa,112,neveu ou nièce: fils ou fille de la sœur Run individu de sexe masculin.,n.,P194-C2,"umwîshwa, abîshwa, 112, (îshywa chez les Tutsi), neveu ou nièce: fils ou fille de la sœur Run individu de sexe masculin. Abîshwa ntibinjirirwa, un homme ne peut pas entrer chez les filles de sa sœur. Ntā winjira mu-nzu yûmwishwa, nul homme n'entre dans la maison de la fille de sa sœur. || Prov. 690. TROUWBORST 141. V. -vyârá i et parenté p. 626.",False,umwîshwa,abîshwa,"umwîshwa, abîshwa, 112, (îshywa chez les Tutsi), neveu ou nièce: fils ou fille de la sœur Run individu de sexe masculin. Abîshwa ntibinjirirwa, un homme ne peut pas entrer chez les filles de sa sœur. Ntā winjira mu-nzu yûmwishwa, nul homme n'entre dans la maison de la fille de sa sœur. || Prov. 690. TROUWBORST 141. V. -vyârá i et parenté p. 626."
6956,6956,mwîishwāwe,la,,te fils ou la fille de ta sæur en parlant à un interlocuteur masculin.,n.,P195-C1,"mwîishwāwe, la, (cfr -îshwa 1), te fils ou la fille de ta sæur en parlant à un interlocuteur masculin. V. parenté p. 625.",False,mwîshwāwe,la,"mwîshwāwe, la, (cfr -îshwa 1), te fils ou la fille de ta sæur en parlant à un interlocuteur masculin. V. parenté p. 625."
6990,6990,inyízàâmvúgo,V.,,,n.,P196-C2,"inyízàâmvúgo, V. -vVúÚgoO.",False,inyízàmvúgo,V.,"inyízàmvúgo, V. -vVúÚgoO."
7002,7002,inabuja,ou,14,"maîtresse, la femme de son patron.",n.,P197-C2,"inabuja, bānabuja ou baāyinabuja, lal2a, (cfr -ja 14), sa maîtresse, la femme de son patron. Prov. 415.",False,inabuja,ou,"inabuja, bānabuja ou baāyinabuja, lal2a, (cfr -ja 14), sa maîtresse, la femme de son patron. Prov. 415."
7025,7025,Jabwé,ia,,personnage légendaire,n.,P198-C2,"Jabwé, ia, (cfr -jab-), personnage légendaire descendant de Ntare II: Jabwé ryā Kabata kā Rurenge, Jabwe fils de Kabata fils de Rurenge. La tradition prétend qu’on lui aurait donné ce nom parce qu'il aimait, étant enfant, patauger dans les flaques; plus tard, dit-on, son amour de la nage aurait confirmé combien son sobriquet était justifié. (Cfr Zaïre, juin 1957, n 6, p. 624.)",False,Jabwé,ia,"Jabwé, ia, (cfr -jab-), personnage légendaire descendant de Ntare II: Jabwé ryā Kabata kā Rurenge, Jabwe fils de Kabata fils de Rurenge. La tradition prétend qu’on lui aurait donné ce nom parce qu'il aimait, étant enfant, patauger dans les flaques; plus tard, dit-on, son amour de la nage aurait confirmé combien son sobriquet était justifié. (Cfr Zaïre, juin 1957, n 6, p. 624.)"
7078,7078,urujānyi,injānyi,9,"mal incurable, mortel, qui va emporter celui qui en est atteint",n.,P200-C1,"urujānyi, injānyi, 9, (cfr -jān-), mal incurable, mortel, qui va emporter celui qui en est atteint. Var. tutsi urujyanyi.",False,urujānyi,injānyi,"urujānyi, injānyi, 9, (cfr -jān-), mal incurable, mortel, qui va emporter celui qui en est atteint. Var. tutsi urujyanyi."
7087,7087,je,(inv.),,onomatopée exprimant le bruit d'un liquide coulant goutte à goutte: ploc!,interj.,P200-C1,"je, (inv.), (cfr -jēj-) onomatopée exprimant le bruit d'un liquide coulant goutte à goutte: ploc! Amama nayó agira ngo je je je, et les gouttes de faire ploc, ploc, ploc. bujé, 14a, (cfr -jeg-) en locution kugenda bujé, retourner chez les siens. Narágīye bujé, je suis retournée chez ma mère. Umugòre agīyé bujé, une épouse qui retourne chez sa mère. L'abandon temporaire du domicile conjugal ne conduit pas nécessairement au divorce. La femme mariée qui rentre chez ses parents n’a pas non plus la certitude d’être soutenue par les siens (en cas de divorce, ils devront restituer jes gages matrimoniaux). H lui faut donc une raison valable, évidente pour que sa famille prenne sa défense. Parmi les plus efficaces, citons les mauvais traitements infligés à la femme par son mari: elle en porte parfois les traces; ensuite le dénûment vestimentaire dans laquelle il ia laisse: « je n'ai rien à me mettre ». S'il s'agit d'un caprice, dun coup de tête, les parents conseilleront à leur fille de mettre de Peau dans son vin et la renverront à leur beaufils. Souvent, le mari, fatigué de devoir préparer lui-même sa pitance, apportera à sa femme une cruche de bière et un nouveau pagne pour la convaincre de reprendre la vie commune. Il usait aussi ďd'amulettes, de charmes, de philtres pour empêcher sa femme de partir ou pour la faire revenir d'elle-même: kubiza umugòre yagîye bujé. V. -turumbura 3. TRouwsgorsrt 139.",False,je,(inv.),"je, (inv.), (cfr -jēj-) onomatopée exprimant le bruit d'un liquide coulant goutte à goutte: ploc! Amama nayó agira ngo je je je, et les gouttes de faire ploc, ploc, ploc. bujé, 14a, (cfr -jeg-) en locution kugenda bujé, retourner chez les siens. Narágīye bujé, je suis retournée chez ma mère. Umugòre agīyé bujé, une épouse qui retourne chez sa mère. L'abandon temporaire du domicile conjugal ne conduit pas nécessairement au divorce. La femme mariée qui rentre chez ses parents n’a pas non plus la certitude d’être soutenue par les siens (en cas de divorce, ils devront restituer jes gages matrimoniaux). H lui faut donc une raison valable, évidente pour que sa famille prenne sa défense. Parmi les plus efficaces, citons les mauvais traitements infligés à la femme par son mari: elle en porte parfois les traces; ensuite le dénûment vestimentaire dans laquelle il ia laisse: « je n'ai rien à me mettre ». S'il s'agit d'un caprice, dun coup de tête, les parents conseilleront à leur fille de mettre de Peau dans son vin et la renverront à leur beaufils. Souvent, le mari, fatigué de devoir préparer lui-même sa pitance, apportera à sa femme une cruche de bière et un nouveau pagne pour la convaincre de reprendre la vie commune. Il usait aussi ďd'amulettes, de charmes, de philtres pour empêcher sa femme de partir ou pour la faire revenir d'elle-même: kubiza umugòre yagîye bujé. V. -turumbura 3. TRouwsgorsrt 139."
7088,7088,injebejebe,plis,9|10,"rides de la face, des joues.",n.,P200-C2,"injebejebe, 9|10, plis, rides de la face, des joues.",False,injebejebe,plis,"injebejebe, 9|10, plis, rides de la face, des joues."
7185,7185,injăshwa,9|10,9|10,"travail de vannerie, corbeille",n.,P202-C2,"injăshwa, 9|10, (cfr -jîishw-), travail de vannerie, corbeille. Bōse bāgīye ku-niíshwa imvé barasangira ivyó bākakïnjikiye, fous se sont assis autour de la corbeille et ont partagé la nourriture qu'on avait cuite pour eux.",False,injăshwa,9|10,"injăshwa, 9|10, (cfr -jîishw-), travail de vannerie, corbeille. Bōse bāgīye ku-niíshwa imvé barasangira ivyó bākakïnjikiye, fous se sont assis autour de la corbeille et ont partagé la nourriture qu'on avait cuite pour eux."
7210,7210,igisámňnjjo,ibisámûnjójo,7|8,pangolin,n.,P203-C1,"igisámňnjjo, ibisámûnjójo, 7|8, (sa ressembler à, -jojo 10 tessons), pangolin: Manis gigantea ILLIGER. Les écailles de pangolin servaient dď'amulettes. RODEGEM, Africa-Tervuren, XVI1968-2.",False,igisámňnjjo,ibisámûnjójo,"igisámňnjjo, ibisámûnjójo, 7|8, (sa ressembler à, -jojo 10 tessons), pangolin: Manis gigantea ILLIGER. Les écailles de pangolin servaient dď'amulettes. RODEGEM, Africa-Tervuren, XVI1968-2."
7290,7290,nyabwïjute,zānyábwïjute,9lall0a,insecte à gros abdomen.,n.,P206-C1,"nyabwïjute, zānyábwïjute, 9lall0a, (cfr -iïjute 14), insecte à gros abdomen. Var. ikinyábwïjute. Nyabwïjute iri mu bwătsi, cet insecte est dans lherbe. Fig. la, individu gros et court; picnyque. — Cet insecte étant présage de bonheur, son nom est donné aux enfants comme appellatif.",False,nyabwïjute,zānyábwïjute,"nyabwïjute, zānyábwïjute, 9lall0a, (cfr -iïjute 14), insecte à gros abdomen. Var. ikinyábwïjute. Nyabwïjute iri mu bwătsi, cet insecte est dans lherbe. Fig. la, individu gros et court; picnyque. — Cet insecte étant présage de bonheur, son nom est donné aux enfants comme appellatif."
7297,7297,sêmajwí,sé,9a,"la compère, maître, voix",n.,P206-C1,"sêmajwí, 9a, (sé la compère, maître, -jwi 6 voix), néol, phonographe, gramophone. Syn. ifono. || Par ext. enregistreur, magnétophone.",False,sêmajwí,sé,"sêmajwí, 9a, (sé la compère, maître, -jwi 6 voix), néol, phonographe, gramophone. Syn. ifono. || Par ext. enregistreur, magnétophone."
7378,7378,urukāma,1l,11,couper de herbe pour la mettre sur sa couche,v.,P208-C2,"urukāma, 1l, (cfr -kāmo 11) Gucá urukāma rw’uburiri, couper de herbe pour la mettre sur sa couche.",False,urukāma,1l,"urukāma, 1l, (cfr -kāmo 11) Gucá urukāma rw’uburiri, couper de herbe pour la mettre sur sa couche."
7430,7430,kamúshēri,bākámushēri,lal2a,commissaire (de police),n.,P210-C1,"kamúshēri, bākámushēri, lal2a, (fr.), commissaire (de police),",False,kamúshēri,bākámushēri,"kamúshēri, bākámushēri, lal2a, (fr.), commissaire (de police),"
7561,7561,umukanyi,aba,1|2,homme dont le métier est de mettre les peaux sur les tambours.,n.,P214-C1,"umukanyi, aba, 1|2, (cfr -kan-), homme dont le métier est de mettre les peaux sur les tambours.",False,umukanyi,aba,"umukanyi, aba, 1|2, (cfr -kan-), homme dont le métier est de mettre les peaux sur les tambours."
7602,7602,umukárango,imi,3l4,"rôti, mesure de ce qu'on va griller, frire",n.,P215-C1,"umukárango, imi  3l4, (cfr -kárang-), rôti, mesure de ce qu'on va griller, frire. || Odeur de friture.",False,umukárango,imi,"umukárango, imi  3l4, (cfr -kárang-), rôti, mesure de ce qu'on va griller, frire. || Odeur de friture."
7626,7626,Abgēshànkări,ima,2,mauvaise famille,n.,P216-C1,"Abgēshànkări, 2, (-ôgēshb- faire laver, -kāri 10 grrière-cour, abri provisoire), mauvaise famille ima.",False,Abgēshànkări,ima,"Abgēshànkări, 2, (-ôgēshb- faire laver, -kāri 10 grrière-cour, abri provisoire), mauvaise famille ima."
7676,7676,Rukáyambo,la,11,,n.,P216-C2,"Rukáyambo, la, (préf. patr. 11) (cfr -káyamb-), sobriquet: fureteur. Umugabo wanje ashítse mu-nzu ní Rukáyambo, quand mon mari arrive, il fouille dans tous les coins pour trouver ce qwil pourrait manger. gukáyangana, -nye, (-káy--), miroiter, briller, étinceler, chatoyer. Var. gusáyangana. umukáyangano, imi, (cfr -káyangan-), éclat, brillance. gukáyuka, -tse, (-káy--), se dessécher, perdre de son éclat. umukayumbe, v. -yumbe.  à; chipoter, bricoler,",False,Rukáyambo,la,"Rukáyambo, la, (préf. patr. 11) (cfr -káyamb-), sobriquet: fureteur. Umugabo wanje ashítse mu-nzu ní Rukáyambo, quand mon mari arrive, il fouille dans tous les coins pour trouver ce qwil pourrait manger. gukáyangana, -nye, (-káy--), miroiter, briller, étinceler, chatoyer. Var. gusáyangana. umukáyangano, imi, (cfr -káyangan-), éclat, brillance. gukáyuka, -tse, (-káy--), se dessécher, perdre de son éclat. umukayumbe, v. -yumbe.  à; chipoter, bricoler,"
7718,7718,mukēbáwe,bakēbábe,11,"terme de référence, co-épouse.",n.,P218-C1,"mukēbáwe, bakēbábe, íÍal2a, (cfr -kêbá 1 et -kēbânje la), terme de référence, co-épouse. Unó mugre w'inkûndwakazi rēró bakēbábe băramuzira barondera ubûúryo bwó kumwica, fes rivales de la favorite la haissaient et cherchaient loccasion de se débarrasser d'elle. V. p. 622.",False,mukēbáwe,bakēbábe,"mukēbáwe, bakēbábe, íÍal2a, (cfr -kêbá 1 et -kēbânje la), terme de référence, co-épouse. Unó mugre w'inkûndwakazi rēró bakēbábe băramuzira barondera ubûúryo bwó kumwica, fes rivales de la favorite la haissaient et cherchaient loccasion de se débarrasser d'elle. V. p. 622."
7738,7738,-kê-ké,adj.,,redoublement du thème -ké. Très peu.,adj.,P218-C2,"-kê-ké, (adj.), redoublement du thème -ké. Très peu. Abantu bakêbaké, fort peu de gens. Inzòga nkênké, un tout petit peu de bière. Umùti mukêmuké, très peu de remède. Cfr. bukêbuké.",False,-kê-ké,adj.,"-kê-ké, (adj.), redoublement du thème -ké. Très peu. Abantu bakêbaké, fort peu de gens. Inzòga nkênké, un tout petit peu de bière. Umùti mukêmuké, très peu de remède. Cfr. bukêbuké."
7878,7878,-kênyá,(adj.),,très peu.,adj.,P221-C2,"-kênyá, (adj.), (cfr -ké), très peu. Var. -kênyí, -kêyá. Hakabura pnmuwcmucīráko n’ibikōri na bíkënyá ?, et ny aurait-il personne qui pourrait poser sur lui quelques brindilles ?",False,-kênyá,(adj.),"-kênyá, (adj.), (cfr -ké), très peu. Var. -kênyí, -kêyá. Hakabura pnmuwcmucīráko n’ibikōri na bíkënyá ?, et ny aurait-il personne qui pourrait poser sur lui quelques brindilles ?"
7881,7881,nyenígikėnye,la,,"celui qui a la force, le plus fort",n.,P222-C1,"nyenígikėnye, la, (cfr -kėnye 7), celui qui a la force, le plus fort. Prov. 2085.",False,nyenígikėnye,la,"nyenígikėnye, la, (cfr -kėnye 7), celui qui a la force, le plus fort. Prov. 2085."
7911,7911,Nyakěre,bānyákěre,,nom donné au postulant dans la secte des bishegu.,n.,P222-C2,"Nyakěre, bānyákěre, nom donné au postulant dans la secte des bishegu. Le néophyte, après avoir kubandwa, était possédé par Kiranga.",False,Nyakěre,bānyákěre,"Nyakěre, bānyákěre, nom donné au postulant dans la secte des bishegu. Le néophyte, après avoir kubandwa, était possédé par Kiranga."
8133,8133,gukoba,vye,,"mettre à nu, dénuder. Dépouiller lun habit, un ornement. Arracher les vêtements. Enlever lécorce, la peau.",v.,P229-C1,"gukoba, vye, mettre à nu, dénuder. Dépouiller lun habit, un ornement. Arracher les vêtements. Enlever lécorce, la peau. Syn. kwômora, gushíshura. || Creuser légèrement. Gratter le sol avec la patte. Gukoba umunyota, se nicher dans les cendres chaudes (chien).",False,gukoba,vye,"gukoba, vye, mettre à nu, dénuder. Dépouiller lun habit, un ornement. Arracher les vêtements. Enlever lécorce, la peau. Syn. kwômora, gushíshura. || Creuser légèrement. Gratter le sol avec la patte. Gukoba umunyota, se nicher dans les cendres chaudes (chien)."
8153,8153,Bukōbero,ia,,appellation du dixième enfant,n.,P230-C1,"Bukōbero, ia, (préf. patr. bu-), appellatif du dixième enfant. Syn. Bucúmi, Nyëcúmi. RODEGEM, Africa-Tervuren, XVI-1968-2.",False,Bukōbero,ia,"Bukōbero, ia, (préf. patr. bu-), appellatif du dixième enfant. Syn. Bucúmi, Nyëcúmi. RODEGEM, Africa-Tervuren, XVI-1968-2."
8170,8170,umukcbwanje,abakcbwabanje,,ma fille,n.,P230-C2,"umukcbwanje, abakcbwabanje, (cfr -kòbwa 1), ma fille. || Cfr -koōbwăbo 1, -kobwăcu 1, -kōbwănyu 1. Umukcbwa wanje est plus normal, moins cru que la forme contractée umukěòbwanje. Cette dernière -est fréquente dans les imprécations où lon évoque — pour en écarter formellement léventualité — des relations coupables. Actuellement, les juges demandent aux prévenus et aux témoins qui, pour prouver la véracité de leurs dires, usent de serments avec imprécations, ďy ajouter explicitement le nom de Ia fille mise en cause. Ceci pour éviter à ceux ARNT B qui n'avaient que des garçons de recourir à une astuce enlevant toute valeur à leur serment. V.",False,umukcbwanje,abakcbwabanje,"umukcbwanje, abakcbwabanje, (cfr -kòbwa 1), ma fille. || Cfr -koōbwăbo 1, -kobwăcu 1, -kōbwănyu 1. Umukcbwa wanje est plus normal, moins cru que la forme contractée umukěòbwanje. Cette dernière -est fréquente dans les imprécations où lon évoque — pour en écarter formellement léventualité — des relations coupables. Actuellement, les juges demandent aux prévenus et aux témoins qui, pour prouver la véracité de leurs dires, usent de serments avec imprécations, ďy ajouter explicitement le nom de Ia fille mise en cause. Ceci pour éviter à ceux ARNT B qui n'avaient que des garçons de recourir à une astuce enlevant toute valeur à leur serment. V."
8252,8252,ubukombo,v.,,kombe,v.,P233-C1,"ubukombo, v. kombe.",False,ubukombo,v.,"ubukombo, v. kombe."
8271,8271,igikōmēro,ibi,7|8,"brasier, feu fort chargé pour sécher les maïs",n.,P233-C2,"igikōmēro, ibi, 7|8, (cfr -komer-), brasier, feu fort chargé pour sécher les maïs, etec. suspendus dans la hutte.",False,igikōmēro,ibi,"igikōmēro, ibi, 7|8, (cfr -komer-), brasier, feu fort chargé pour sécher les maïs, etec. suspendus dans la hutte."
8288,8288,inkómōká,de,,de la lignée,de,P234-C1,"inkómōká, (cfr -kómk-), de la lignée (de). || Natif (de). Ni twebwé inkómoká zăkomōtse mu Burŭndi, nous sommes d'authentiques Rundi.",False,inkómōká,de,"inkómōká, (cfr -kómk-), de la lignée (de). || Natif (de). Ni twebwé inkómoká zăkomōtse mu Burŭndi, nous sommes d'authentiques Rundi."
8300,8300,kômvyo,sans,,"inégalé, incomparable",adj.,P234-C2,"kômvyo, (inv.), (cfr -kômvyo 7), sans augment, tjs en apposition, inégalé, incomparable. Syn. ntangėre,. Umuhinga kômvyo, un grand artiste.",False,kômvyo,sans,"kômvyo, (inv.), (cfr -kômvyo 7), sans augment, tjs en apposition, inégalé, incomparable. Syn. ntangėre,. Umuhinga kômvyo, un grand artiste."
8395,8395,umukonyogo,imi,314,gousse verte du haricot,n.,P237-C1,"umukonyogo, imi, 314, (cfr -kónyok-), gousse verte du haricot. Syn. umutěza. Prov. 1225",False,umukonyogo,imi,"umukonyogo, imi, 314, (cfr -kónyok-), gousse verte du haricot. Syn. umutěza. Prov. 1225"
8443,8443,igikóre,ibi,,V. nabukóre.,v.,P238-C2,"igikóre, ibi, Ficalhoa laurifolia HIERN. V. nabukóre. Prov. 3462.",False,igikóre,ibi,"igikóre, ibi, Ficalhoa laurifolia HIERN. V. nabukóre. Prov. 3462."
8463,8463,umukōri,imi,,larme,n.,P239-C1,"umukōri, imi, (cfr -kōr-), larme. Syn. iryôsozi.",False,umukōri,imi,"umukōri, imi, (cfr -kōr-), larme. Syn. iryôsozi."
8490,8490,rukorônko,ila,,"sans augment, corne antilope",n.,P239-C2,"rukorônko, ila, (cfr -korônko 9), sans augment, corne antilope. — Les devins en faisaient des talismans en « chargant» la corne de divers ingrédients (poils, os, excréments, poudres, etc.), Les voleurs emportaient cette corne magique avec eux pour endormir leurs victimes. V. -pfùmu 14. M.R.A.C. 50.28.9, 50.28.16.",False,rukorônko,ila,"rukorônko, ila, (cfr -korônko 9), sans augment, corne antilope. — Les devins en faisaient des talismans en « chargant» la corne de divers ingrédients (poils, os, excréments, poudres, etc.), Les voleurs emportaient cette corne magique avec eux pour endormir leurs victimes. V. -pfùmu 14. M.R.A.C. 50.28.9, 50.28.16."
8541,8541,Inámukózi,la,,esprit féminin qui préside aux cultures.,n.,P241-C1,"Inámukózi, la, (cfr -kózi 1), esprit féminin qui préside aux cultures. Syn. Inamurimyi, Inámuhînga, Nyabáshi.",False,Inámukózi,la,"Inámukózi, la, (cfr -kózi 1), esprit féminin qui préside aux cultures. Syn. Inamurimyi, Inámuhînga, Nyabáshi."
8542,8542,inkózi,none,9|10,"celui qui agit, qui pose un acte.",n.,P241-C1,"inkózi, 9l10, (cfr -kózi 1), celui qui agit, qui pose un acte. Inkózi y'ikibi, le malfaiteur, le mauvais sujet. Prov. 1174.",False,inkózi,none,"inkózi, 9l10, (cfr -kózi 1), celui qui agit, qui pose un acte. Inkózi y'ikibi, le malfaiteur, le mauvais sujet. Prov. 1174."
8543,8543,rukózi,none,11a,"sans augment, sujet grammatical.",n.,P241-C1,"rukózi, 11a, (cfr -kózi 9), sans augment, (néol.), sujet grammatical,",False,rukózi,none,"rukózi, 11a, (cfr -kózi 9), sans augment, (néol.), sujet grammatical,"
8619,8619,igikúbwe,ibi,,,n.,P243-C1,"igikúbwe, ibi, 7|8, arbre non identifié dont les feuilles sont employées comme vulnéraire pour réduire iles excroissances dans jle vagin de ia vache,",False,igikúbwe,ibi,"igikúbwe, ibi, 7|8, arbre non identifié dont les feuilles sont employées comme vulnéraire pour réduire iles excroissances dans jle vagin de ia vache,"
8716,8716,mukûndwa,la,,"ami très cher, amant.",n.,P246-C2,"mukûndwa, la, (cfr -kûndw-), intime, ami très cher, amant.",False,mukûndwa,la,"mukûndwa, la, (cfr -kûndw-), intime, ami très cher, amant."
8762,8762,umukunjo,imi,,pti,n.,P248-C1,"umukunjo, imi, (sw.) (cfr -kûnj-), pti. Syn. umupfunyúnyu.",False,umukunjo,imi,"umukunjo, imi, (sw.) (cfr -kûnj-), pti. Syn. umupfunyúnyu."
8822,8822,inákuru,bānákuru,112,"la mère de son père, sa grand-mère paternelle",n.,P249-C2,"inákuru, bānákuru, bāyínakûúru, lal2a, (cfr -kúru), terme de référence, la mère de son père, sa grand-mère paternelle. Prov. 3493. Cfr nyōkúru, nyogókuru. V. parenté, p. 6Í6. 249",False,inákuru,bānákuru,"inákuru, bānákuru, bāyínakûúru, lal2a, (cfr -kúru), terme de référence, la mère de son père, sa grand-mère paternelle. Prov. 3493. Cfr nyōkúru, nyogókuru. V. parenté, p. 6Í6. 249"
