,GLOBAL_INDEX,WORD,AFFIX,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY,FAILED,WORD_CLEAN,AFFIX_CLEAN,FULL_ENTRY_CLEAN
2359,2359,ikidávyi,ibi,7|8,"raseur, bavard ennuyeux",n.,P66-C2,"ikidávyi, ibi, 7|8, (-dáv--), raseur, bavard ennuyeux. Syn. igisésemangwé.",False,ikidávyi,ibi,"ikidávyi, ibi, 7|8, (-dáv--), raseur, bavard ennuyeux. Syn. igisésemangwé."
2360,2360,mdávyo,V.,,,v.,P66-C2,"mdávyo, V. rávyo, ,",False,mdávyo,V.,"mdávyo, V. rávyo, ,"
2437,2437,Mudcnde,Bāmúděcnde,lalža,Appellatif du septième enfant.,n.,P68-C1,"Mudcnde, Bāmúděcnde, lalža, (cfr -děënde 3), appellatift du septième enfant. Var. Kadénde, Rwasa.",False,Mudcnde,Bāmúděcnde,"Mudcnde, Bāmúděcnde, lalža, (cfr -děënde 3), appellatift du septième enfant. Var. Kadénde, Rwasa."
2438,2438,akaděnde,utu,1l2j13,Grelot servant d'amulette au septième enfant.,n.,P68-C1,"akaděnde, utu, 1l2j13, (cfr -dênder-), grelot servant d'amulette au septième enfant. V. -dëngġe la, 3.",False,akaděnde,utu,"akaděnde, utu, 1l2j13, (cfr -dênder-), grelot servant d'amulette au septième enfant. V. -dëngġe la, 3."
2461,2461,urudêngěri,indêngëri,11|10,étang,n.,P68-C2,"urudêngěri, indêngëri, 11)10, étang. Urudêngëcri rwâmâzi, une inondation.",False,urudêngěri,indêngëri,"urudêngěri, indêngëri, 11)10, étang. Urudêngëcri rwâmâzi, une inondation."
2463,2463,umudêngo,imi,,sommet dune colline,n.,P68-C2,"umudêngo, imi, sommet dune colline où va disparaître celui qu'on suit des yeux.",False,umudêngo,imi,"umudêngo, imi, sommet dune colline où va disparaître celui qu'on suit des yeux."
2513,2513,Badígi,la,,un brin de fille.,n.,P70-C1,"Badígi, la, (préf. patr. bu-) (cfr -digi 5), fillette, un brin de fille.",False,Badígi,la,"Badígi, la, (préf. patr. bu-) (cfr -digi 5), fillette, un brin de fille."
2520,2520,akadigóma,utu,12113,petite cuiller,n.,P70-C1,"akadigóma, utu, 12113, petite cuiller. Syn. akarosho.",False,akadigóma,utu,"akadigóma, utu, 12113, petite cuiller. Syn. akarosho."
2521,2521,Budigóma,la,,"sobriquet: nabot, nain, freluquet",n.,P70-C1,"Budigóma, la, (préf. patr. bu-), sobriquet: nabot, nain, freluquet.",False,Budigóma,la,"Budigóma, la, (préf. patr. bu-), sobriquet: nabot, nain, freluquet."
2558,2558,umudogonya,imi,344,bouvillon,n.,P72-C1,"umudogonya, imi, 344, bouvillon, petit veau, . kudogora, -ye, dresser un chien pour ia chasse, Í",False,umudogonya,imi,"umudogonya, imi, 344, bouvillon, petit veau, . kudogora, -ye, dresser un chien pour ia chasse, Í"
2677,2677,ikidûêndùri,ibi,7|8,"tertre, monticule, proéminence.",n.,P75-C1,"ikidûêndùri, ibi, 7|8, (cfr -dûnddūr-), tertre, monticule, proéminence. || Claie, cloison gui fait saillie. N'kidûnduri c'ubwătsi bashirá bējuru yumuryango w'inzu ngo harushé ahăndi gukomera, c'est un auvent en chaume que lon piace au-dessus de Ventrée de la hutte afin de cet endroit.",False,ikidûêndùri,ibi,"ikidûêndùri, ibi, 7|8, (cfr -dûnddūr-), tertre, monticule, proéminence. || Claie, cloison gui fait saillie. N'kidûnduri c'ubwătsi bashirá bējuru yumuryango w'inzu ngo harushé ahăndi gukomera, c'est un auvent en chaume que lon piace au-dessus de Ventrée de la hutte afin de cet endroit."
2682,2682,indungurungu,V.,,rungurungu,v.,P75-C1,"indungurungu, vV. -rungurungu.",False,indungurungu,V.,"indungurungu, vV. -rungurungu."
2683,2683,indungwa,V.,,rungwaa,v.,P75-C1,"indungwa, v. -rungwaa,",False,indungwa,V.,"indungwa, v. -rungwaa,"
2691,2691,umudurēgo,imi,3l4,"fancinement, élancement, tiraillement.",n.,P75-C2,"umudurēgo, imi, 3l4, (cfr -durēg-), fancinement, élancement, tiraillement. Syn. umukanakano.",False,umudurēgo,imi,"umudurēgo, imi, 3l4, (cfr -durēg-), fancinement, élancement, tiraillement. Syn. umukanakano."
2707,2707,umudwângano,imi,3j4,confusion de termes; bredouillement.,n.,P75-C2,"umudwângano, imi, 3j4, (cfr mélange, enchevêtrement. Umudwângano wamajambo, confusion de termes; bredouillement.",False,umudwângano,imi,"umudwângano, imi, 3j4, (cfr mélange, enchevêtrement. Umudwângano wamajambo, confusion de termes; bredouillement."
2727,2727,akēbeyo,utwebeyo,,danse,n.,P77-C1,"akēbeyo, utwebeyo, (cfr -ebey-), danse.",False,akēbeyo,utwebeyo,"akēbeyo, utwebeyo, (cfr -ebey-), danse."
2735,2735,umwěga,aběga,1|2,apiculteur,n.,P77-C1,"umwěga, aběga, 1|2, (cfr -êgek-), apiculteur. Syn. umwêgetsi.,",False,umwěga,aběga,"umwěga, aběga, 1|2, (cfr -êgek-), apiculteur. Syn. umwêgetsi.,"
2736,2736,umwěga,imycga,3|4,reine d'un essaim d'abeilles.,n.,P77-C1,"umwěga, imycga, 3|4, (cfr -êgek-), reine. d'un essaim d'abeilles. Au Burundi on dit le roi des abeilles : umwămi w'înzúki, nor la reine.",False,umwěga,imycga,"umwěga, imycga, 3|4, (cfr -êgek-), reine. d'un essaim d'abeilles. Au Burundi on dit le roi des abeilles : umwămi w'înzúki, nor la reine."
2738,2738,urwëga,inzėga,11(10),arbre dans lequel lapiculteur a placé une ruche.,n.,P77-C1,"urwëga, inzėga, 11(10, (cfr -êĉgek-), arbre dans lequel lapiculteur a placé une ruche,",False,urwëga,inzėga,"urwëga, inzėga, 11(10, (cfr -êĉgek-), arbre dans lequel lapiculteur a placé une ruche,"
2740,2740,kwêgagurika,etse,,battre,v.,P77-C1,"kwêgagurika, etse, (cfr -êgagur-), battre (fléaw), tomber cet se relever sans cesse (houe, matraque).",False,kwêgagurika,etse,"kwêgagurika, etse, (cfr -êgagur-), battre (fléaw), tomber cet se relever sans cesse (houe, matraque)."
2741,2741,umwěgaguzi,abcgaaguzi,12,batteur,n.,P77-C1,"umwěgaguzi, abcgaaguzi, 12, -êgagur-), batteur, frappeur, celui qui use du fléau.",False,umwěgaguzi,abcgaguzi,"umwěgaguzi, abcgaaguzi, 12, -êgagur-), batteur, frappeur, celui qui use du fléau."
2763,2763,kwegeranya,nije,,"mettre ensemible, assembler, resserrer. Syn. gukúmakuma. récolter. aider un de ses vieux parents.",v.,P78-C1,"kwegeranya, nije, (cfr -egeran-), mettre ensemible, assembler, resserrer. Syn. gukúmakuma. Kwegeranya umurima, récolter. || Kwegeranya umuvyêyi, aider un de ses vieux parents. Prov. 691.",False,kwegeranya,nije,"kwegeranya, nije, (cfr -egeran-), mettre ensemible, assembler, resserrer. Syn. gukúmakuma. Kwegeranya umurima, récolter. || Kwegeranya umuvyêyi, aider un de ses vieux parents. Prov. 691."
2788,2788,umwěhe,imyche,3l4,piste animal,n.,P78-C2,"umwěhe, imyche, 3l4, (cfr -eher-), piste animal, ftrace de passage, brisée.",False,umwěhe,imyche,"umwěhe, imyche, 3l4, (cfr -eher-), piste animal, ftrace de passage, brisée."
