GLOBAL_INDEX,NOUN_CLASS,NC_REGEX,FULL_ENTRY,PAGE-COLUMN,POS
5057,7|8,718,"igihâno, ibi-, 718, (cfr -hân-), poison. Syn. ishano. 9|10, (cfr -hanuk-), événement fortuit, soudain, imprévu. Syn. imbaraga.",P144-C1,n.
5138,,9),"umuanyêmpări, aba, (cfr -hări 5, 9), querelleur, chicaneur.",P145-C2,n.
5180,8,8,"ibihăsāne, 8, (cfr -hása 5), jumeaux nés avant terme.",P147-C1,n.
5198,,718,"ihatáne, ama-, (cfr -hátan-), dent barrée., TA s'agit d'une molaire, on dira igihatáne, ibi-, 718.",P147-C2,n.
5489,7|8,3927,"igihěngeri, ibi- 7|8, trou dans un arbre. Syn. igihòro. || Ouverture, blessure. Trou. Déchirure, Syn. igihěngengeri. || Caillot de sang. Prov. 445, 3927",P154-C2,n.
5505,7|8,7)8,"igitunahera, 7)8, (-tun- rétrécir, -hera 5 pièce), sou. Ntuzôbóna w'igitunahera, tu mauras pas un sou.",P155-C1,n.
5723,7|8,40.),"igihimbi, ibi- 7|8, civette, Civettictis civetta. Syn. ingāra, akarurúma. « IIgihimbi bágicīye umurīzo kiti pn'ùkùûri ikitâmbăje n'îco, une civette à qui on avait coupé la queue s'ceria: yraiment, voilà qui m'est bien égal»: ce dicton suggère qu'on peut facilement se passer de Vaccessoire quand on a sauvé essentiel. (Prov. cl. 12, 40.)",P161-C1,n.
5957,7|8,1bi-,"igihobéhobé, 1bi-, 7(8, sifflement dans les mains rapprochées en conque: les vachers s'appellent ainsi de colline à colline pour se lancer des injures homériques ne portant pas à conséguence, même si elles sont ordurières ou obscènes. V. -hógoza.",P167-C1,n.
5996,14,14,"hoji, v. hogi! ubuhōjōjo, 14, menus morceaux innombrables. Gucîka ubuhjōjo, étre brisé en mille morceaux. V. -jojo 9",P168-C1,v.
6052,2,2,"Abahomvora, 2, bonne famille hutu.",P169-C2,n.
6320,7|8,78,"igihûmbu, ibi-, 78, (cfr -hûmb-), menteur. Syn. umubêshi. || Débauché. || Indigne. Iryo banga barikora bánumye, ukuvúga n'ukurângaguzwa nukuména ibanga rikoméye pnukubá igihûmbu, pendant cette opération (la traite, les trayeurs) dotvent garder un silence absolu; parler ou se laisser aller à détourner la tête c'est violer une loi sacrée, c'est être indigne.",P177-C1,adj.
6322,7|8,718,"igihùme, ibi- 718, (cfr -hum-), un aveugle. Syn. impumyi. ibi-, 718, (cfr -hûm-), revenant, fantôme, monstre, génie malfaisant. || Nouveau-né difforme, monstrueux. Ni muhungé ngāhó unó mugabo aturungíkiye igihîmé bācôbo mwe!, fuyez, les amis, voilà Phomme qui nous a envoyé un revenant! || Un hercule. Syn. Bikovongo. Ces génies, ces fantômes (de gens morts de mort violente) nuisent à tous ceux qui passent dans leur secteur. Il arrive ainsi qu'une vallée fertile soit abandonnée par la population parce que les bihûmé y séviraient. Ōn prétendait aussi que les jumeaux étaient des fantômes réincarnés.",P177-C1,n.
6480,6,6,"amahğre, 6, (cfr -hûrir-), carrefour. Syn. amayirâbiri. Amahŭre y'inzira, la croisée des chemins. -húr- agir avec vivacité -hhúra 7, 9, 14 -hurur-húr o 37 -hururir- -hurukw-nyáhuro 1 -huruz- -hurúru 1, -húru 7 -huruzi 1 RY",P181-C1,n.
6563,9|10,9|i0,"impúzo, 9|i0, (cfr -húr-), entrée de la ruche, petit orifice par où se «glissent» les abeilles. Syn. urugwizo. imi-, 3l4, (cfr -hùzu 9), Ficus. Syn. inzáge.",P183-C2,n.
6688,11,378,"kwibagira, -ye, (cfr -iba 11i), oublier. Syn. guhundukwa. Prov. 145, 378, 383, 429, 829, 1253, 1845, 2027, 2133. Ant. kwibuka.",P187-C1,v.
6709,11,436,"kwibuka, -tse, (cfr -iba 11) se rappeler, se souvenir. Avoir la mémoire de, reconnaître. Urībuka wewé wībúka kó Ndambiye yarí Umutūtsi, tu as une mémoire extraordinaire! Prov. 429, 436, 1722-1723, 1848. Ant. kwibagira.",P187-C2,v.
6940,,758,"kwishura, -ye, (cfr -ishu 9), répondre à une question, à une lettre. « Inyámănza băyibwiye bati uri wamaguru mató; nayó irabīshura iti nŭbu nkêká kó yavyîmvye, on dit à une bergeronnette: que tes jambes sont grêles! Elle répondit: f'ai impression qwelles ont gonflé. » Pour mettre fin aux critiques, pour fermer la bouche aux jaloux, il suffit souvent d'’abonder dans leur sens. || Payer, solder une dette. || Expier. Prov. 252, 758, 1583. Ant. guhérana.",P194-C2,v.
6953,7|8,718,"ikibúrabwîshwa, ibi, 718, (-búr- manquer, -tîshwa 14), peu usité, individu qui épouse sa cousine parallèle et qui va ainsi contre la coutume. V. umwîshwa 1. v. -shwa.",P194-C2,n.
7188,7,7,"ikijo, 7, (cfr -jo 11), (péi.), grosse tête, caboche. - Syn. ikijonjongoro.",P202-C2,n.
7284,2,2,"Abavējuru, 2, (vū- venir de, -juru 5 ciel), bonne famille hima. La tradition prétend qu'ils sont tombés du cjel avec une calebasse de lait en mains.",P205-C2,v.
7386,1,1,"umukáma, 1, (cfr -kám-), trayeur. Par ext. seigneur, Syn. umwămi. — « Tout appartient au roi»; ceci vaut particulièrement pour le bétail: celui qui a le droit de traire, qui étend sa domination sur le bétail tout entier porte le titre 9|i0, crabe. Var. inkâra.",P209-C1,adj.
7392,7|8,78,"igikámakare, ibi, 78, (péj.), (cfr -kámakare 1), tjs en C ou C, matrone sans mari, femme après sa ménopause. w'igikámakare, une grosse matrone. Ilgikámakare c'umugėre, une infâme matrone. c'igikámakare cāanciriye mu mirima, cette sinistre matrone est passée à travers mes champs.",P209-C1,n.
